date,asset,open,high,low,close,volume,raw_open,raw_close,adj_factor,up_limit,down_limit
2024-01-02,SYN00,10.024512,10.139242,9.924267,10.038853,100000,10.024512,10.038853,1,11.026963,9.0220609
2024-01-02,SYN01,9.9134102,10.043411,9.8142761,9.9439712,100000,9.9134102,9.9439712,1,10.904751,8.9220692
2024-01-02,SYN02,9.7271176,9.8243888,9.6223846,9.7195804,100000,9.7271176,9.7195804,1,10.699829,8.7544059
2024-01-02,SYN03,10.021347,10.125828,9.921134,10.025573,100000,10.021347,10.025573,1,11.023482,9.0192127
2024-01-02,SYN04,9.7816006,9.8794166,9.6781938,9.7759534,100000,9.7816006,9.7759534,1,10.759761,8.8034405
2024-01-02,SYN05,10.003097,10.103128,9.8707191,9.9704234,100000,10.003097,9.9704234,1,11.003406,9.002787
2024-01-02,SYN06,10.011341,10.146886,9.9112278,10.046422,100000,10.011341,10.046422,1,11.012475,9.0102071
2024-01-02,SYN07,9.8536273,9.9674014,9.755091,9.8687143,100000,9.8536273,9.8687143,1,10.83899,8.8682645
2024-01-02,SYN08,9.9977846,10.097762,9.8872049,9.9870757,100000,9.9977846,9.9870757,1,10.997563,8.9980061
2024-01-02,SYN09,9.9420732,10.041494,9.8295056,9.9287936,100000,9.9420732,9.9287936,1,10.93628,8.9478659
2024-01-02,SYN10,10.237578,10.339954,10.107908,10.210008,100000,10.237578,10.210008,1,11.261336,9.2138206
2024-01-02,SYN11,10.207859,10.309938,10.092804,10.194752,100000,10.207859,10.194752,1,11.228645,9.1870733
2024-01-03,SYN00,10.06313,10.163761,9.9450246,10.045479,100000,10.06313,10.045479,1,11.069443,9.0568168
2024-01-03,SYN01,9.9352193,10.034572,9.8233324,9.9225579,100000,9.9352193,9.9225579,1,10.928741,8.9416974
2024-01-03,SYN02,9.6314094,9.7610694,9.5350953,9.6644251,100000,9.6314094,9.6644251,1,10.59455,8.6682685
2024-01-03,SYN03,10.15413,10.262632,10.052589,10.161022,100000,10.15413,10.161022,1,11.169543,9.1387174
2024-01-03,SYN04,9.6875058,9.7919432,9.5906308,9.6949933,100000,9.6875058,9.6949933,1,10.656256,8.7187553
2024-01-03,SYN05,10.132114,10.239718,10.030792,10.138334,100000,10.132114,10.138334,1,11.145325,9.1189023
2024-01-03,SYN06,9.9074623,10.006537,9.7987454,9.8977226,100000,9.9074623,9.8977226,1,10.898208,8.916716
2024-01-03,SYN07,9.5605774,9.6982563,9.4649716,9.602234,100000,9.5605774,9.602234,1,10.516635,8.6045196
2024-01-03,SYN08,10.054559,10.155105,9.9248434,10.025094,100000,10.054559,10.025094,1,11.060015,9.0491031
2024-01-03,SYN09,9.8967527,10.017295,9.7977852,9.9181136,100000,9.8967527,9.9181136,1,10.886428,8.9070775
2024-01-03,SYN10,10.123944,10.225184,9.9931359,10.094077,100000,10.123944,10.094077,1,11.136339,9.11155
2024-01-03,SYN11,10.491667,10.615346,10.386751,10.510244,100000,10.491667,10.510244,1,11.540834,9.4425007
2024-01-04,SYN00,9.9228056,10.038016,9.8235776,9.93863,100000,9.9228056,9.93863,1,10.915086,8.9305251
2024-01-04,SYN01,10.048457,10.148941,9.9453168,10.045775,100000,10.048457,10.045775,1,11.053302,9.043611
2024-01-04,SYN02,9.4763776,9.5711414,9.3722398,9.4669089,100000,9.4763776,9.4669089,1,10.424015,8.5287398
2024-01-04,SYN03,10.11415,10.255082,10.013009,10.153546,100000,10.11415,10.153546,1,11.125565,9.1027351
2024-01-04,SYN04,9.5318951,9.6487005,9.4365761,9.5531688,100000,9.5318951,9.5531688,1,10.485085,8.5787056
2024-01-04,SYN05,10.16698,10.26865,10.041141,10.142566,100000,10.16698,10.142566,1,11.183678,9.1502818
2024-01-04,SYN06,10.005744,10.143902,9.9056869,10.043467,100000,10.005744,10.043467,1,11.006319,9.0051699
2024-01-04,SYN07,9.5555408,9.6956295,9.4599854,9.5996331,100000,9.5555408,9.5996331,1,10.511095,8.5999867
2024-01-04,SYN08,10.029529,10.142463,9.9292333,10.042042,100000,10.029529,10.042042,1,11.032481,9.0265757
2024-01-04,SYN09,9.8351663,9.9677193,9.7368147,9.869029,100000,9.8351663,9.869029,1,10.818683,8.8516497
2024-01-04,SYN10,10.123351,10.272899,10.022118,10.171187,100000,10.123351,10.171187,1,11.135686,9.111016
2024-01-04,SYN11,10.477506,10.582281,10.35653,10.461141,100000,10.477506,10.461141,1,11.525257,9.4297557
2024-01-05,SYN00,9.8350417,9.9535684,9.7366913,9.8550182,100000,9.8350417,9.8550182,1,10.818546,8.8515375
2024-01-05,SYN01,10.032328,10.144056,9.932005,10.04362,100000,10.032328,10.04362,1,11.035561,9.0290954
2024-01-05,SYN02,9.4888019,9.5968434,9.3939139,9.5018251,100000,9.4888019,9.5018251,1,10.437682,8.5399217
2024-01-05,SYN03,9.9776141,10.094847,9.8778379,9.9948978,100000,9.9776141,9.9948978,1,10.975375,8.9798527
2024-01-05,SYN04,9.6917597,9.7886773,9.578712,9.6754666,100000,9.6917597,9.6754666,1,10.660936,8.7225837
2024-01-05,SYN05,10.171673,10.27339,10.065163,10.166832,100000,10.171673,10.166832,1,11.188841,9.1545059
2024-01-05,SYN06,9.9539221,10.065169,9.8543829,9.9655136,100000,9.9539221,9.9655136,1,10.949314,8.9585299
2024-01-05,SYN07,9.5715476,9.6672631,9.4669785,9.5626045,100000,9.5715476,9.5626045,1,10.528702,8.6143928
2024-01-05,SYN08,9.9576311,10.060081,9.8580548,9.9604758,100000,9.9576311,9.9604758,1,10.953394,8.961868
2024-01-05,SYN09,9.7779004,9.8756794,9.6556534,9.7531853,100000,9.7779004,9.7531853,1,10.75569,8.8001104
2024-01-05,SYN10,9.9752959,10.096882,9.875543,9.9969133,100000,9.9752959,9.9969133,1,10.972826,8.9777663
